id,created_at,user_id,screen_name,text
N/A,"""2018-10-18T00:20:25.000Z""","""Roblox Fan""",N/A,"""Coral looks really pretty"""
N/A,"""2018-10-18T00:13:02.000Z""","""Dominiue Johnson""",N/A,"""Where the iPhone X\u2019s max hype\ud83e\udd14\ud83e\udd14\ud83e\udd14\ud83e\udd14"""
N/A,"""2018-10-17T21:13:13.000Z""","""Quadred""",N/A,"""Apple has given me enough motivation to switch to android (note 9)."""
N/A,"""2018-10-17T20:09:27.000Z""","""Hair stuff""",N/A,"""The sorroundig notch looks awful"""
N/A,"""2018-10-17T19:13:24.000Z""","""J-Williams""",N/A,"""I think a lot of people hate on this phone because they don't know that much about tech. For starters if all your phones were switched from 1080p resolution to 720p(which is lower than xr resolution) 99% wouldn't be able to tell the difference as I've done this on my S8. 2nd minus the display and lack of dual cameras this is pretty much an iPhone XS, 3D seems useless. 3rd iPhones 6-8(not the plus models) have had  slightly lower resolution screens than this XR and nobody said a thing. If no one brought up that the XR resloution was between 720p and 1080p most people would've just thought it was 1080p before actaully checking the specs."""
N/A,"""2018-10-17T18:40:23.000Z""","""Anant Aggarwal""",N/A,"""If Steve Jobs were alive, he would have changed the CEO!!"""
N/A,"""2018-10-17T18:37:34.000Z""","""Anant Aggarwal""",N/A,"""Need that wallpaper on the black XR, cool as heaven!!"""
N/A,"""2018-10-17T16:20:36.000Z""","""\u5c1b\u718a_""",N/A,"""iPhoneXR\uff08R=Rich man pls don\u2018t buy it\uff09"""
N/A,"""2018-10-17T14:23:28.000Z""","""MrNickachu""",N/A,"""R stands for Reboot."""
N/A,"""2018-10-17T03:55:29.000Z""","""TJ  Bouchard""",N/A,"""R is before S. Hence the name. I win."""
N/A,"""2018-10-16T20:10:27.000Z""","""nicholas young""",N/A,"""rather buy s9 $730 over this piece of trash thats not even close to worth the price. btw is $1270."""
N/A,"""2018-10-16T16:13:36.000Z""","""Korey Deese""",N/A,"""I wish the XS Max came in RED!"""
N/A,"""2018-10-16T10:08:05.000Z""","""Joel Bailey""",N/A,"""And all these YouTube videos say oh how great they are ... Are these people paid by crapple."""
N/A,"""2018-10-16T07:22:12.000Z""","""Walkinginto2015""",N/A,"""Omg. I want all of them. Ded. I\u2019m thinking about getting the white. Idk. They all so pretty \u2728"""
N/A,"""2018-10-16T02:22:44.000Z""","""Kathiana Phaedra""",N/A,"""I wish they would\u2019ve made a pink version like cmon some ppl still love pink like me lol"""
N/A,"""2018-10-16T02:10:15.000Z""","""Elijah Bradford""",N/A,"""Can't decide between black or red, aaaah!"""
N/A,"""2018-10-16T00:03:42.000Z""","""KrishCool108""",N/A,"""Very nice phone !"""
